General_Release date,General_Battery capacity (mAh),General_Removable battery,Display_Refresh Rate,Display_Screen size (inches),Hardware_RAM,Hardware_Internal storage,Hardware_Expandable storage,Connectivity_NFC,camera_1_megapixel,camera_2_megapixel,camera_3_megapixel,camera_4_megapixel,camera_5_megapixel,num_cameras,front_camera_1_megapixel,front_camera_2_megapixel,num_front_cameras,Network_SIM_1,Network_SIM_2,General_Price in India
2024.0,5500.0,No,120,6.78,12.0,512.0,No,Unknown,50,8,0,0,0,2,32,0,1,5G,5G,29999.0
2024.0,5000.0,Unknown,120,5.0,4.0,128.0,Unknown,Yes,48,0,0,0,0,1,0,0,1,Unknown,Unknown,9499.0
2022.0,5000.0,Unknown,90,6.6,6.0,128.0,Yes,Yes,50,8,2,0,0,3,16,0,1,4G,4G,9799.0
2024.0,5000.0,No,120,6.67,12.0,256.0,Unknown,Unknown,50,2,0,0,0,2,16,0,1,Unknown,Unknown,14230.0
2022.0,5000.0,No,90,6.43,8.0,256.0,Yes,Unknown,64,8,2,0,0,3,16,0,1,4G,4G,10999.0
2024.0,4500.0,Unknown,120,6.7,12.0,256.0,Unknown,Unknown,50,10,13,0,0,3,50,0,1,Unknown,Unknown,32199.0
2024.0,5000.0,No,120,6.7,8.0,128.0,Yes,Unknown,48,0,0,0,0,1,8,0,1,Unknown,Unknown,10779.0
2023.0,3900.0,No,120,6.1,8.0,256.0,No,Yes,50,12,10,0,0,3,12,0,1,5G,Unknown,42100.0
2024.0,5500.0,No,120,6.77,12.0,256.0,Unknown,Unknown,50,2,0,0,0,2,16,0,1,5G,5G,19998.0
2024.0,5100.0,No,120,6.67,4.0,128.0,Unknown,Unknown,8,0,0,0,0,1,5,0,1,5G,5G,13499.0
2023.0,5400.0,No,120,6.82,16.0,512.0,No,Yes,50,64,48,0,0,3,32,0,1,5G,5G,61999.0
2023.0,5000.0,No,90,6.74,8.0,256.0,Yes,Unknown,50,8,0,0,0,2,5,0,1,5G,5G,8749.0
2024.0,5000.0,Unknown,90,6.6,8.0,128.0,Yes,Unknown,16,0,0,0,0,1,5,0,1,Unknown,Unknown,5599.0
2024.0,5000.0,No,120,6.8,12.0,1024.0,No,Yes,200,12,50,10,0,4,12,0,1,5G,5G,131999.0
2024.0,5000.0,No,120,6.6,8.0,256.0,Yes,Unknown,50,8,5,0,0,3,13,0,1,Unknown,Unknown,21574.0
2024.0,6000.0,No,90,6.5,8.0,128.0,Unknown,Unknown,50,5,2,0,0,3,13,0,1,Unknown,Unknown,10999.0
2023.0,5000.0,Unknown,90,6.74,8.0,256.0,Yes,Unknown,50,2,2,0,0,3,5,0,1,Unknown,Unknown,6999.0
2021.0,5000.0,Unknown,60,6.51,6.0,128.0,Yes,Unknown,13,2,2,0,0,3,16,0,1,Unknown,Unknown,11990.0
